Company,TypeName,Ram,Gpu,OpSys,Weight,PPI,SSD_GB,Cpu_Family,Cpu_Clockspeed,target
Asus,Ultrabook,8,Intel HD Graphics 515,Windows 10,1.2,165.63,512,Core M,0.9,729
Acer,Notebook,4,AMD Radeon R5,Windows 10,2.4,100.45,0,A8-Series,2.2,387
HP,Notebook,6,AMD Radeon 530,Windows 10,1.95,141.21,256,A9-Series,3,649
Dell,Notebook,4,Intel HD Graphics 620,Linux,1.93,100.45,0,Core i5,2.6,869
Dell,Notebook,16,AMD Radeon 530,Windows 10,2.8,127.34,256,Core i7,1.8,1299
Lenovo,Workstation,16,Nvidia GeForce GTX 940MX,Windows 10,2.3,282.42,512,Core i7,2.8,2445
MSI,Gaming,16,Nvidia GeForce GTX 1070,Windows 10,2.9,127.34,512,Core i7,2.8,2415
HP,Notebook,16,Intel UHD Graphics 620,Windows 10,1.49,165.63,512,Core i7,1.8,1197
Dell,Ultrabook,8,Intel HD Graphics 520,Windows 10,1.5,209.8,256,Core i7,2.6,1962.98
Lenovo,Notebook,8,AMD Radeon R5 M330,Windows 10,2.5,141.21,0,Core i5,2.3,788.49
HP,Notebook,8,Intel HD Graphics 620,Windows 10,1.84,141.21,256,Core i7,2.7,1304
Dell,2 in 1 Convertible,8,Intel UHD Graphics 620,Windows 10,1.62,165.63,0,Core i7,1.8,839
Lenovo,Notebook,6,Nvidia GeForce GTX 940MX,Windows 10,2.8,106.11,128,Core i7,2.7,859
MSI,Gaming,8,Nvidia GeForce GTX 965M,Windows 10,2.6,127.34,256,Core i7,2.6,1599
Acer,Netbook,4,Intel HD Graphics 400,Chrome OS,1.25,135.09,0,Celeron Dual Core,1.6,297
Dell,Notebook,8,Intel HD Graphics 620,Windows 10,1.36,157.35,256,Core i5,2.6,1427
Dell,Notebook,8,Intel HD Graphics 620,Windows 10,2.3,100.45,0,Core i3,2.4,469.01
Asus,Gaming,8,Nvidia GeForce GTX 1050,Windows 10,3,127.34,128,Core i7,2.8,1168
Asus,Notebook,4,Nvidia GeForce 920MX,Windows 10,2.8,106.11,0,Pentium Quad Core,1.6,530
